agent_label,f1_frac_kyber768,f1_frac_mlkem768,f2_frac_firefox_ja4,f2_frac_h2,f2_frac_pq,f3_mean_ak_window,f3_frac_win_firefox,f3_mean_init_window,f4_frac_s3_w110,f4_frac_s3_w220,f5_frac_s5_w110,f5_frac_s5_w220,f5_frac_s5_w256,f6_stream3_coverage,f6_stream5_coverage,f7_ja3_diversity,f7_ip_diversity,f8_mean_cipher_count,f8_mean_curve_count,f8_mean_sig_count,f9_h2_pseudo_order,f9_ak_pseudo_order,f10_frac_ext16,f10_frac_ext17,f10_frac_firefox_ext,f11_grease_cipher,f11_grease_curve,f11_grease_ver,f12_log_n_requests
3,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.7777777777777778,0.6666666666666666,0.2222222222222222,0.2222222222222222,14.77777777777778,4.0,8.444444444444445,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,1.0,1.0,2.302585092994046
1,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
2,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
0,0.0,0.8,0.0,0.9,0.8,17643748.555555556,0.0,9320675.555555556,0.0,1.0,0.0,0.0,1.0,0.7,0.6,0.3,0.2,22.6,5.2,10.4,0.0,0.0,0.8,0.0,0.0,1.0,1.0,1.0,2.3978952727983707
2,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
0,0.5,0.1666666666666666,0.0,0.5,0.5,13216427.666666666,0.0,6990506.666666667,0.0,1.0,0.0,0.0,1.0,0.2916666666666667,0.25,0.1666666666666666,0.25,46.25,8.75,11.916666666666666,-1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,3.218875824868201
1,0.0,0.9,0.0,0.9,0.9,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8,0.7,0.2,0.2,14.8,3.9,7.9,0.0,0.0,0.9,0.0,0.0,1.0,1.0,1.0,2.3978952727983707
1,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
3,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
3,0.1111111111111111,1.0,0.0,1.0,1.0,14847545.888888888,0.0,6524472.888888889,0.0,1.0,0.0,0.0,1.0,0.7777777777777778,0.6666666666666666,0.2222222222222222,0.2222222222222222,14.88888888888889,4.333333333333333,8.222222222222221,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,1.0,1.0,2.302585092994046
3,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
2,0.1111111111111111,1.0,0.0,1.0,1.0,14847545.888888888,0.0,6524472.888888889,0.0,1.0,0.0,0.0,1.0,0.7777777777777778,0.6666666666666666,0.2222222222222222,0.2222222222222222,14.88888888888889,4.333333333333333,8.222222222222221,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,1.0,1.0,2.302585092994046
5,0.375,0.8125,0.0,0.875,0.9375,13565953.0,0.0,6890642.285714285,0.2,0.8,0.0,1.0,0.0,0.3125,0.0625,0.5625,0.4375,14.875,4.8125,8.875,0.0,0.0,0.25,0.375,0.0,1.0,1.0,1.0,2.833213344056216
